tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
25,337,1,1,1,0,0.002686,0.01272,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.727299,-0.502556,-0.726288,0.422206,1,1,1,1,,,,,,
25,337,1,1,1,0,0.003085,0.012614,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
25,1326,1,1,1,1,0.002055,0.118333,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,1.10391,-0.0021653,-1.10134,0.150334,1,1,1,1,,,,,,
26,148,1,1,1,0,0.006495,0.049202,0.084323,0,0,0,0,0,0,0,0,0,0,0,0,-2.00557,0.418728,2.03162,-0.310056,1,1,1,1,,,,,,
26,465,1,1,1,0,0.00836,0.046289,0.044284,0,0,0,0,0,0,0,0,0,0,0,0,0.403979,-0.135698,-0.402587,0.096533,1,1,1,1,,,,,,
26,765,1,1,1,1,0.00008,-0.001693,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.12817,-0.165814,2.12852,0.158511,1,1,1,1,,,,,,
26,767,1,1,1,1,0.000068,-0.00172,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.12092,0.51519,2.12123,-0.522946,1,1,1,1,,,,,,
27,26,1,1,1,0,0.001321,0.009384,0.012474,0,0,0,0,0,0,0,0,0,0,0,0,-0.815036,0.131518,0.81589,-0.13863,1,1,1,1,,,,,,
27,131,1,1,1,0,0.000038,0.000285,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,0.781208,-0.132782,-0.781185,0.132375,1,1,1,1,,,,,,
28,26,1,1,1,0,0.000979,0.010321,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,-1.03999,-0.367485,1.04066,0.345589,1,1,1,1,,,,,,
28,26,1,1,1,0,0.001301,0.009006,0.012285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
29,30,1,1,1,0,0.001427,0.020366,1.148123,0,0,0,0,0,0,0,0,0,0,0,0,-6.00783,1.511,6.06143,-1.95742,1,1,1,1,,,,,,
