tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
167,591,西南.叙府站.220.2932,四川.叙台二线,1,1,0,0.002119,0.021822,0.041452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
167,921,西南.叙府站.220.2932,四川.叙府/1#变压器_m,1,1,1,0.000071,-0.0022,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.45923,1.60708,3.46054,-1.64587,1,1,0,0
167,923,西南.叙府站.220.2932,四川.叙府/2#变压器_m,1,1,1,0.000022,-0.001974,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.49663,1.40585,3.49702,-1.4398,1,1,0,0
168,146,四川.冶勒厂.220.3003,四川.冶栗一线,1,1,0,0.001279,0.005463,0.005506,0,0,0,0,0,0,0,0,0,0,0,0,1.19965,0.337685,-1.19725,-0.331956,1,1,1,1
168,764,四川.冶勒厂.220.3003,四川.冶勒厂/1#变压器,1,1,1,0.001815,0.088465,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-1.19965,-0.337674,1.203,0.424307,1,1,1,1
169,170,四川.静云.220.1284,四川.舟云线,1,1,0,0.000699,0.003088,0.002973,0,0,0,0,0,0,0,0,0,0,0,0,-1.24962,-0.555361,1.25124,0.560017,1,1,1,1
169,362,四川.静云.220.1284,四川.云为二线,1,1,0,0.002007,0.014894,0.028097,0,0,0,0,0,0,0,0,0,0,0,0,3.92879,1.48909,-3.90711,-1.34919,1,1,1,1
169,362,四川.静云.220.1284,四川.云为一线,1,1,0,0.001947,0.014931,0.028778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
169,1178,四川.静云.220.1284,四川.静云/1#变压器_h,1,1,1,0.001418,0.098365,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.187054,-0.0891209,0.18712,0.0138237,1,1,0,0
169,2703,四川.静云.220.1284,四川.静云/2#变压器_h,1,1,1,0.001905,0.117499,0,0,0,0,0,0,1.075,0,0,0,0,0,0,-0.173519,-0.142613,0.173611,0.0521594,1,1,0,0
170,769,四川.舟坝厂.220.3151,四川.舟坝厂/1#变压器,1,1,1,0.004474,0.1692,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.626011,-0.278293,0.628413,0.224015,1,1,1,1
170,770,四川.舟坝厂.220.3151,四川.舟坝厂/2#变压器,1,1,1,0.00445,0.163467,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.625226,-0.281686,0.627623,0.229665,1,1,1,1
171,158,四川.紫坪铺厂.500.3179,四川.紫景线,1,1,0,0.000291,0.003037,0.165693,0,0,0,0,0,0,0,0,0,0,0,0,6.98,6.26408,-6.94832,-5.93586,1,1,1,1
171,775,四川.紫坪铺厂.500.3179,四川.紫坪铺厂/1#变压器,1,1,1,0.001087,0.060417,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.90756,-1.57617,1.91569,1.97279,1,1,1,1
171,776,四川.紫坪铺厂.500.3179,四川.紫坪铺厂/2#变压器,1,1,1,0.001092,0.060417,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.70598,-1.58627,1.71321,1.93085,1,1,1,1
