tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1345,1347,四川.西地ZXD,四川.西地/1#变压器_l,1,1,1,0.008085,0.06,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.17142,-0.00662,0,0,1,1,1,1
191,1348,四川.高桥.220.2829,四川.高桥/1#变压器_h,1,1,1,0.001002,0.080055,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.19553,-0.06603,0,0,1,1,1,1
1348,1349,四川.高桥ZXD,四川.高桥/1#变压器_m,1,1,1,0.000527,-0.006777,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.19344,0.07321,0,0,1,1,1,1
1348,1350,四川.高桥ZXD,四川.高桥/1#变压器_l,1,1,1,0.001038,0.048276,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00201,-0.00377,0,0,1,1,1,1
191,1351,四川.高桥.220.2829,四川.高桥/2#变压器_h,1,1,1,0.001002,0.080302,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.19606,-0.04359,0,0,1,1,1,1
1351,1352,四川.高桥ZXD,四川.高桥/2#变压器_m,1,1,1,0.000527,-0.006416,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.19451,-0.02053,0,0,1,1,1,1
1351,1353,四川.高桥ZXD,四川.高桥/2#变压器_l,1,1,1,0.000994,0.04786,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00147,0.0676,0,0,1,1,1,1
185,1354,四川.通川.220.2537,四川.通川/2#变压器_h,1,1,1,0.001285,0.095,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.26921,0.06855,0,0,1,1,1,1
1354,1355,四川.通川ZXD,四川.通川/2#变压器_m,1,1,1,0.000681,-0.005,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.26527,-0.05616,0,0,1,1,1,1
1354,1356,四川.通川ZXD,四川.通川/2#变压器_l,1,1,1,0.001531,0.058336,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00374,-0.0045,0,0,1,1,1,1
90,1357,四川.二台山.220.777,四川.二台山/1#变压器_h,1,1,1,0.001516,0.1,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.3275,0.12879,0,0,1,1,1,1
1357,1358,四川.二台山ZXD,四川.二台山/1#变压器_m,1,1,1,0.000666,-0.0094,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.27642,-0.18465,0,0,1,1,1,1
1357,1359,四川.二台山ZXD,四川.二台山/1#变压器_l,1,1,1,0.001711,0.062267,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.05077,0.06897,0,0,1,1,1,1
138,1360,四川.夹江.220.981,四川.夹江/1#变压器_h,1,1,1,0.001238,0.0979,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.5954,-0.09729,0,0,1,1,1,1
