bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
94,1468,0,1,1,0.99963,-2.01997,0,0,0,0,220,230,0,0,0,0,0,1.00542,1.74951,-0.000167372,-1.21E-06,1,0,0,,,,,,,
95,1480,0,1,1,0.99116,-20.0328,0,-0.07244,0,0,220,230,0,0,0,0,0,1.04234,-15.9266,-0.000484916,0.0723741,1,0,0,,,,,,,
96,607,0,1,1,0.9921,-19.6573,0,0,0,0,220,230,0,0,0,0,0,1.04331,-15.5881,-0.000337172,-2.99E-05,1,0,0,,,,,,,
97,427,0,1,1,0.991046,-11.3445,0,0,0,0,220,230,0,0,0,0,0,1.05698,-7.6145,-0.000480327,-8.23E-06,1,0,0,,,,,,,
98,474,0,1,1,0.996328,-20.1927,0.41479,-0.05456,0,0,220,230,0,0,0,0,0,1.04169,-16.0585,-0.414659,0.0545376,1,0,0,,,,,,,
99,10899,0,1,1,0.996274,-20.1887,0.40092,-0.04008,0,0,220,230,0,0,0,0,0,1.04164,-16.0549,-0.400795,0.0400601,1,0,0,,,,,,,
100,1521,0,1,1,1.00024,-2.05049,0,0,0,0,220,230,0,0,0,0,0,1.00511,1.7249,0.000436179,8.40E-06,1,0,0,,,,,,,
101,1214,0,1,1,1.00013,-2.03341,0,0,0,0,220,230,0,0,0,0,0,1.00541,1.739,-0.000381783,-2.02E-06,1,0,0,,,,,,,
102,1552,0,1,1,1.00953,-7.37716,0,0,0,0,500,525,0,0,0,0,0,1.02441,-4.03819,0.000191557,2.49E-05,1,0,0,,,,,,,
103,2021,0,1,1,1.00558,-9.30727,0,0,0,0,500,525,0,0,0,0,0,1.03256,-5.93754,-0.00174602,-0.000106727,1,0,0,,,,,,,
104,2074,0,1,1,0.999693,-2.26492,0,0,0,0,220,230,0,0,0,0,0,1.00432,1.51463,-7.68E-05,-1.28E-06,1,0,0,,,,,,,
105,1656,0,1,1,0.999954,-15.1815,0,0,0,0,220,230,0,0,0,0,0,1.04275,-10.7049,-4.73E-05,-9.79E-06,1,0,0,,,,,,,
106,804,0,1,1,0.999521,-8.60474,0,0,0,0,220,230,0,0,0,0,0,1.0189,-5.3351,-5.11E-05,-9.78E-06,1,0,0,,,,,,,
107,868,0,1,1,1.00154,-15.626,0,0,0,0,220,230,0,0,0,0,0,1.04316,-11.1021,-1.26E-05,-3.91E-06,1,0,0,,,,,,,
108,1821,0,1,1,0.996282,-17.7835,0,0,0,0,220,230,0,0,0,0,0,0.998658,-13.7817,-0.000163166,-1.03E-05,1,0,0,,,,,,,
109,1646,0,1,1,0.99717,-17.3953,0,0,0,0,220,230,0,0,0,0,0,1.00064,-13.4143,-0.000200068,-1.52E-05,1,0,0,,,,,,,
110,1184,0,1,1,1.00187,-13.9743,0,0,0,0,500,525,0,0,0,0,0,1.03687,-10.3447,0.00025698,-0.000193777,1,0,0,,,,,,,
111,1731,0,1,1,0.991883,-15.3452,0,0,0,0,220,230,0,0,0,0,0,1.03787,-11.6467,-1.67E-05,0.00022141,1,0,0,,,,,,,
112,1271,0,1,1,0.991387,-15.9574,0,0,0,0,220,230,0,0,0,0,0,1.03596,-12.2016,-0.000270754,-2.15E-05,1,0,0,,,,,,,
