ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
27,28,1,1,1,0,0.001032,0.005607,0.010622,0,0,0,0,0,0,0,0,0,0,0,0,3.70674,0.41865,-3.69952,-0.397613,1,1,1,1
27,28,1,1,1,0,0.000964,0.005777,0.010267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,33,1,1,1,0,0.003783,0.033431,0.060835,0,0,0,0,0,0,0,0,0,0,0,0,0.0461453,-0.403133,-0.0458848,0.282638,1,1,1,1
27,33,1,1,1,0,0.004667,0.034416,0.065606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,36,1,1,1,0,0.001633,0.011304,0.011031,0,0,0,0,0,0,0,0,0,0,0,0,3.4631,0.631735,-3.45262,-0.580588,1,1,1,1
27,36,1,1,1,0,0.001622,0.011353,0.011693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,181,1,1,1,0,0.0066,0.043,0.078821,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653897,-0.303123,0.065581,0.151621,1,1,1,1
27,181,1,1,1,0,0.006597,0.043,0.078821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,199,1,1,1,0,0.00038,0.00271,0.005295,0,0,0,0,0,0,0,0,0,0,0,0,-2.55635,0.110258,2.55762,-0.111774,1,1,1,1
27,199,1,1,1,0,0.00037,0.00271,0.005825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,287,1,1,1,0,0.002253,0.026314,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6843,-0.303345,1.69115,0.383307,1,1,1,1
27,466,1,1,1,1,6.00E-05,-0.001767,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7511,-0.321135,2.75158,0.307071,1,1,1,1
27,468,1,1,1,1,6.10E-05,-0.00172,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7719,-0.323581,2.7724,0.309682,1,1,1,1
28,81,1,1,1,0,0.000533,0.006352,0.03237,0,0,0,0,0,0,0,0,0,0,0,0,1.55845,0.0221932,-1.55716,-0.0722936,1,1,1,1
28,81,1,1,1,0,0.00314,0.017505,0.03238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
28,627,1,1,1,1,0.001717,0.12771,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,0.00342047,0.174665,-0.00336659,-0.170658,1,1,1,1
28,630,1,1,1,1,0.001682,0.12675,0,0,0,0,0,0,1.0375,0,0,0,0,0,0,-0.00333992,-0.167081,0.00339271,0.171059,1,1,1,1
29,30,1,1,1,0,0.006348,0.046686,0.088779,0,0,0,0,0,0,0,0,0,0,0,0,-0.26009,-0.0939368,0.26053,0.00719702,1,1,1,1
29,428,1,1,1,1,0.001071,0.079904,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,0,-8.88E-15,-8.33E-17,8.88E-15,1,1,1,1
