tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,limit,ioff,joff,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,
112,113,0,1,1,0,0.118517,0.474069,0.000217,0,0,0,0,0,0,0,0,0,0,0,0,0.00486,-0.00246,-0.00486,0.00207,380,0,0,1,1,1,1,,,,,0.474069
114,115,0,1,1,0,0.007474,0.036125,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0.02759,0.00209,-0.02758,-0.00208,1220,0,0,1,1,1,1,,,,,0.036125
114,116,0,1,1,0,0.007474,0.036125,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0.01409,0.00033,-0.01409,-0.00034,1220,0,0,1,1,1,1,,,,,0.036125
117,118,0,1,1,0,0.057524,0.230095,0.000448,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,-0.01331,-0.00034,0.01254,380,0,0,1,1,1,1,,,,,0.230095
66,119,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,-0.01168,-0.00173,0.01168,0,0,0,1,1,1,1,,,,,0.001
120,121,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00006,0.00288,0.00006,-0.00288,0,0,0,1,1,1,1,,,,,0.001
122,123,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02461,0.00916,-0.02461,-0.00916,0,0,0,1,1,1,1,,,,,0.001
122,124,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00309,-0.00043,0.00309,0.00043,0,0,0,1,1,1,1,,,,,0.001
125,126,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06811,-0.00583,-0.06811,0.00583,0,0,0,1,1,1,1,,,,,0.001
127,128,0,1,1,1,0.000116,0.019998,0,0,0,0,0,0,1,0,0,0,0,0,0,1.93718,0.34556,0,0,0,0,0,1,1,1,1,,,,,0.019998
7,128,0,1,1,1,0.000083,0.002809,0,0,0,0,0,0,1.015,0,0,0,0,0,0,-1.93589,-0.28061,0,0,0,0,0,1,1,1,1,,,,,-0.002809
127,129,0,1,1,1,0.000126,0.021127,0,0,0,0,0,0,1,0,0,0,0,0,0,1.74344,0.31453,0,0,0,0,0,1,1,1,1,,,,,0.021127
7,129,0,1,1,1,0.000057,0.002033,0,0,0,0,0,0,1.015,0,0,0,0,0,0,-1.74258,-0.25655,0,0,0,0,0,1,1,1,1,,,,,-0.002033
30,130,0,1,1,1,0.006928,0.19543,0,0,0,0,0,0,0.920031,0,0,0,0,0,0,0.00344,0.01639,-0.00344,-0.01634,0,0,0,1,1,1,1,,,,,0.19543
55,131,0,1,1,1,0.006281,0.19611,0,0,0,0,0,0,1.037655,0,0,0,0,0,0,0.00274,-0.05752,-0.00272,0.05821,0,0,0,1,1,1,1,,,,,0.19611
55,132,0,1,1,1,0.010766,0.291436,0,0,0,0,0,0,1.037655,0,0,0,0,0,0,-0.00335,-0.00718,0.00335,0.0072,0,0,0,1,1,1,1,,,,,0.291436
28,133,0,1,1,1,0.007336,0.193051,0,0,0,0,0,0,0.908385,0,0,0,0,0,0,0.00333,0.00392,-0.00333,-0.00391,0,0,0,1,1,1,1,,,,,0.193051
31,134,0,1,1,1,0.009189,0.232928,0,0,0,0,0,0,1.024845,0,0,0,0,0,0,0.00325,-0.03736,-0.00324,0.03771,0,0,0,1,1,1,1,,,,,0.232928
