tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
85,77,1,1,1,0,0.001998,0.015559,0.027356,0,0,0,0,0,0,0,0,0,0,0,0,-0.2936,-0.1152,0.29379,0.06204,1820.800049,0,0
86,87,1,1,1,0,0.000245,0.001182,0.001501,0,0,0,0,0,0,0,0,0,0,0,0,-0.42783,-0.0386,0.42788,0.03579,910.400024,0,0
88,87,1,1,1,0,0.002479,0.013556,0.015012,0,0,0,0,0,0,0,0,0,0,0,0,-0.5959,0.02777,0.59679,-0.05314,910.400024,0,0
88,87,1,1,1,0,0.00245,0.01362,0.014278,0,0,0,0,0,0,0,0,0,0,0,0,-0.59353,0.02664,0.59439,-0.05055,910.400024,0,0
28,17,1,1,1,0,0.000568,0.006487,0.426457,0,0,0,0,0,0,0,0,0,0,0,0,0.40387,-0.56994,-0.40377,-0.28682,3641.600098,0,0
28,17,1,1,1,0,0.000482,0.006543,0.407503,0,0,0,0,0,0,0,0,0,0,0,0,0.40276,-0.54427,-0.40268,-0.27436,3641.600098,0,0
25,89,1,1,1,0,0.001129,0.007171,0.005946,0,0,0,0,0,0,0,0,0,0,0,0,-0.36777,0.02657,0.36792,-0.03778,910.400024,0,0
90,91,1,1,1,0,0.001663,0.008255,0.00838,0,0,0,0,0,0,0,0,0,0,0,0,-0.1643,0.03094,0.16434,-0.04808,910.400024,0,0
92,93,1,1,1,0,0.000728,0.005592,0.008571,0,0,0,0,0,0,0,0,0,0,0,0,1.87754,0.72688,-1.87453,-0.72058,1820.800049,0,0
94,19,1,1,1,0,0.001796,0.029333,1.757581,0,0,0,0,0,0,0,0,0,0,0,0,3.97894,-1.48002,-3.95121,1.79862,3641.600098,0,0
25,95,1,1,1,0,0.010027,0.060658,0.089623,0,0,0,0,0,0,0,0,0,0,0,0,-0.22914,-0.15146,0.22969,-0.02968,910.400024,0,0
96,97,1,1,1,0,0.000991,0.005357,0.022532,0,0,0,0,0,0,0,0,0,0,0,0,0.83772,-0.3418,-0.83692,0.30089,1820.800049,0,0
98,99,1,1,1,0,0.001298,0.007455,0.040934,0,0,0,0,0,0,0,0,0,0,0,0,-0.68752,0.05778,0.68814,-0.13718,910.400024,0,0
98,99,1,1,1,0,0.00173,0.008704,0.037056,0,0,0,0,0,0,0,0,0,0,0,0,-0.58409,0.06099,0.58469,-0.13306,910.400024,0,0
63,100,1,1,1,0,0.001695,0.010514,0.021951,0,0,0,0,0,0,0,0,0,0,0,0,0.24993,0.03328,-0.24982,-0.07631,781.799988,0,0
63,100,1,1,1,0,0.001706,0.010514,0.021918,0,0,0,0,0,0,0,0,0,0,0,0,0.24993,0.03305,-0.24982,-0.07601,781.799988,0,0
67,101,1,1,1,0,0.000697,0.003628,0.130044,0,0,0,0,0,0,0,0,0,0,0,0,0.22735,-0.30191,-0.22729,0.03688,1215.400024,0,0
67,102,1,1,1,0,0.000714,0.003601,0.130284,0,0,0,0,0,0,0,0,0,0,0,0,0.2299,-0.27308,-0.22985,0.00756,1215.400024,0,0
103,104,1,1,1,0,0.000473,0.0027,0.009684,0,0,0,0,0,0,0,0,0,0,0,0,-0.10283,-0.02925,0.10284,0.00981,1563.599976,0,0
103,104,1,1,1,0,0.000433,0.002722,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195,-0.03085,0.10195,0.01117,1563.599976,0,0
103,97,1,1,1,0,0.000485,0.0028,0.008448,0,0,0,0,0,0,0,0,0,0,0,0,-0.24233,0.23913,0.24239,-0.25577,1563.599976,0,0
103,97,1,1,1,0,0.000455,0.0028,0.006875,0,0,0,0,0,0,0,0,0,0,0,0,-0.24532,0.23861,0.24537,-0.25209,1563.599976,0,0
105,106,1,1,1,0,0.000883,0.01242,0.681292,0,0,0,0,0,0,0,0,0,0,0,0,1.48266,-0.47156,-1.48071,1.42173,3641.600098,0,0
105,106,1,1,1,0,0.000887,0.012501,0.691332,0,0,0,0,0,0,0,0,0,0,0,0,1.473,-0.483,-1.47107,1.41263,3641.600098,0,0
107,103,1,1,1,0,0.000575,0.005885,0.012682,0,0,0,0,0,0,0,0,0,0,0,0,-0.60476,-0.01877,0.60497,-0.00458,2430.768066,0,0
107,103,1,1,1,0,0.000614,0.003217,0.041676,0,0,0,0,0,0,0,0,0,0,0,0,-1.08826,0.04679,1.08899,-0.12672,1563.599976,0,0
22,108,1,1,1,0,0.001837,0.0108,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0.23375,-0.09371,-0.23363,0.07447,910.400024,0,0
22,108,1,1,1,0,0.001819,0.010698,0.009589,0,0,0,0,0,0,0,0,0,0,0,0,0.23599,-0.09404,-0.23588,0.0757,910.400024,0,0
88,109,1,1,1,0,0.001619,0.009112,0.010642,0,0,0,0,0,0,0,0,0,0,0,0,1.32441,-0.00772,-1.32158,0.0023,910.400024,0,0
88,109,1,1,1,0,0.001618,0.009112,0.011427,0,0,0,0,0,0,0,0,0,0,0,0,1.32442,-0.00846,-1.32159,0.00146,910.400024,0,0
108,110,1,1,1,0,0.010346,0.053293,0.04977,0,0,0,0,0,0,0,0,0,0,0,0,0.13838,-0.11733,-0.13813,0.01962,910.400024,0,0
108,110,1,1,1,0,0.010147,0.051099,0.049091,0,0,0,0,0,0,0,0,0,0,0,0,0.14389,-0.12013,-0.14363,0.02383,910.400024,0,0
53,31,1,1,1,0,0.01683,0.106805,0.093252,0,0,0,0,0,0,0,0,0,0,0,0,0.62581,0.05932,-0.61884,0.11042,1563.599976,0,0
111,112,1,1,1,0,0.005011,0.029432,0.027549,0,0,0,0,0,0,0,0,0,0,0,0,-0.17832,0.00691,0.17849,-0.06093,910.400024,0,0
111,112,1,1,1,0,0.005068,0.02995,0.027549,0,0,0,0,0,0,0,0,0,0,0,0,-0.1753,0.00614,0.17547,-0.06018,910.400024,0,0
1,113,1,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,0.91006,-0.3192,-0.90971,-0.4066,3641.600098,0,0
114,115,1,1,1,0,0.000998,0.007394,0.037474,0,0,0,0,0,0,0,0,0,0,0,0,1.10935,-0.20415,-1.10809,0.1386,1820.800049,0,0
114,115,1,1,1,0,0.00104,0.007328,0.040264,0,0,0,0,0,0,0,0,0,0,0,0,1.1171,-0.21586,-1.11577,0.14481,1820.800049,0,0
116,114,1,1,1,0,0.003185,0.017703,0.048142,0,0,0,0,0,0,0,0,0,0,0,0,-0.94771,0.06405,0.95062,-0.14391,1563.599976,0,0
32,61,1,1,1,0,0.001396,0.011482,0.021487,0,0,0,0,0,0,0,0,0,0,0,0,0.34546,0.10195,-0.34528,-0.14409,1820.800049,0,0
117,118,1,1,1,0,0.011505,0.068507,0.108714,0,0,0,0,0,0,0,0,0,0,0,0,-1.46943,0.10038,1.49485,-0.16743,1563.599976,0,0
117,118,1,1,1,0,0.011609,0.069233,0.109603,0,0,0,0,0,0,0,0,0,0,0,0,-1.45413,0.09694,1.47926,-0.16736,1563.599976,0,0
88,118,1,1,1,0,0.004988,0.027905,0.026399,0,0,0,0,0,0,0,0,0,0,0,0,-1.05178,0.03033,1.05729,-0.05275,910.400024,0,0
88,118,1,1,1,0,0.004855,0.02794,0.02651,0,0,0,0,0,0,0,0,0,0,0,0,-1.05164,0.02508,1.057,-0.04772,910.400024,0,0
116,119,1,1,1,0,0.00093,0.003751,0.003782,0,0,0,0,0,0,0,0,0,0,0,0,0.29901,-0.0996,-0.29891,0.09244,781.799988,0,0
120,117,1,1,1,0,0.002748,0.01573,0.014127,0,0,0,0,0,0,0,0,0,0,0,0,-1.14229,0.04293,1.14591,-0.05029,910.400024,0,0
121,73,1,1,1,0,0.001353,0.006781,0.013014,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0.00006,-0.00003,-0.02635,910.400024,0,0
72,122,1,1,1,0,0.01148,0.064811,0.061136,0,0,0,0,0,0,0,0,0,0,0,0,-0.30646,-0.01666,0.30757,-0.09884,910.400024,0,0
