bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3916,5936,0,1,2,0.993046,-11.3586,0,0,0.05846,0.01596,10,10.5,27,-27,0,0,0,10.427,0,5.846,1.596,1,3,0,0
3917,5953,0,1,2,1.02375,-16.2979,0,0,0.34468,-0.00331,10,10.5,42,-32,0,0,0,10.749,0,34.468,-0.331,1,2,0,0
3918,5958,0,1,2,0.981711,3.30464,0,0,0.20225,0.04438,10,10.5,11.78,-11.78,0,0,0,10.308,3.305,20.225,4.438,1,1,0,0
3919,5999,0,1,2,1.02473,3.60303,0,0,0.18061,-0.04714,10,10.5,16.11,-16.11,0,0,0,10.76,3.603,18.061,-4.714,1,1,0,0
3920,6000,0,1,2,1.02741,3.63405,0,0,0.18489,-0.02894,10,10.5,16.11,-16.11,0,0,0,10.788,3.634,18.489,-2.894,1,1,0,0
3921,5942,0,1,2,0.978521,-17.0902,0,0,0.05551,0.04595,10,10.5,12.28,-12.28,0,0,0,10.274,0,5.551,4.595,1,2,0,0
3922,5946,0,1,2,1.03144,-2.63528,0,0,0.01082,0.00447,10,10.5,12.4,-12.4,0,0,0,10.83,0,1.082,0.447,1,2,0,0
3923,6006,0,1,2,1.01734,-7.2911,0,0,0.14131,0.04907,10,10.5,51,-51,0,0,0,10.682,0,14.131,4.907,1,2,0,0
3924,6005,0,1,2,1.01122,-8.37668,0,0,0.01245,0.00646,10,10.5,27.98,-27.98,0,0,0,10.618,0,1.245,0.646,1,3,0,0
3925,6009,0,1,2,1.03309,-5.19237,0,0,0.04556,-0.01658,6,6,9.3,-9.3,0,0,0,6.508,0,4.556,-1.658,1,2,0,0
3926,6016,0,1,2,1.01166,0.98599,0,0,0.02527,-0.0075,6,6,4.96,-4.96,0,0,0,6.373,0.986,2.527,-0.75,1,2,0,0
3927,566_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3928,6015,0,1,2,1.00985,1.46072,0,0,0.0464,-0.01094,6,6,7.8,-7.8,0,0,0,6.362,1.461,4.64,-1.094,1,2,0,0
3929,6153,0,1,2,1.05186,0.528329,0,0,0.16992,-0.01249,10,10.5,19.84,-19.84,0,0,0,11.045,0.528,16.992,-1.249,1,2,0,0
3930,6189,0,1,2,1.0246,-16.941,0,0,0.10921,0.03443,10,10.5,34.77,-34.77,0,0,0,0,0,10.921,3.443,1,1,0,0
3931,572_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3932,6188,0,1,2,1.02751,-16.5286,0,0,0.10622,0.0368,10,10.5,34.77,-34.77,0,0,0,0,0,10.622,3.68,1,1,0,0
3933,6158,0,1,2,1.01005,1.65867,0,0,0.04896,0.00367,6,6,11.7,-11.7,0,0,0,6.363,1.659,4.896,0.367,1,3,0,0
3934,6157,0,1,1,0.993751,1.33612,0,0,0,0,35,35,0,0,0,0,0,37.266,1.336,0,0,2,0,0,0
