tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
38,17,莆田.渭荔Ⅰ路,1,1,0,0.000548,0.003095,0.001816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.860001,0.000000,-41.799999,0.940000,0.000000
26,39,莆田.上城线上庄侧,1,1,0,0.011943,0.055242,0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-69.290001,3.080000,0.000000,0.000000,0.000000
5,40,莆田.涵塘线涵江侧,1,1,0,0.011512,0.046046,0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.760000,-1.210000,0.000000,0.000000,0.000000
17,41,莆田.顶荔Ⅰ路,1,1,0,0.001987,0.018132,0.009892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-40.049999,-4.820000,37.950001,-3.300000,50.000000
17,41,莆田.顶荔Ⅱ路,1,1,0,0.001987,0.018132,0.009892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-40.320000,-4.550000,37.950001,-3.300000,120.000000
34,42,莆田.栖石线栖梧侧,1,1,0,0.000098,0.002743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.690000,-0.760000,0.000000,0.000000,0.000000
20,41,莆田.顶涵Ⅰ路,1,1,0,0.001049,0.006960,0.003288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.369999,-0.800000,59.400002,-2.750000,0.000000
20,41,莆田.顶涵Ⅱ路,1,1,0,0.001129,0.007231,0.003288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.230000,0.000000,57.200001,-3.300000,0.000000
5,43,莆田.涵林Ⅱ路涵江侧,1,1,0,0.000029,0.000115,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,5,莆田.厚涵线,1,1,0,0.005006,0.020023,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.340000,0.000000
